Student_ID,Exam_Name,Exam_Score,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
60,Computer Networks,68,5.8,1,7.7,4.3,5.2,2.8,Low
61,Database Systems,97,8.3,1.1,9.8,3.5,1.3,3.67,High
62,Foundation of web technologies,87,7.1,1,6.8,4.5,4.6,3.27,Moderate
63,Data Science,71,5.1,0.5,5.2,0.2,13,2.85,High
64,Computer Networks,74,7.4,0.4,7.5,2.8,5.9,3.26,Moderate
65,Data Science,73,5.9,1.7,7,3.7,5.7,2.8,Low
66,Computer Networks,70,6.9,2.5,7.5,5.1,2,3.06,Moderate
67,Database Systems,86,8.3,0.7,5.4,3.9,5.7,3.26,High
68,SAD,88,9.7,2.3,6.9,3.3,1.8,3.38,High
69,OOP,84,7.3,2.2,9.7,1.9,2.9,3.15,Moderate
70,Computer Organization,68,5.4,1.3,9.2,0.1,8,2.69,Low
71,SAD,87,9.1,1.1,5.6,4.2,4,3.54,High
72,MIS,83,8.7,3.2,6.4,1,4.7,3.37,High
73,Data Science,88,8.8,3.2,10,0.8,1.2,3.58,High
74,MIS,75,6.7,3.7,9.3,1.8,2.5,2.89,Moderate
75,SAD,92,8.8,3,5.5,5.4,1.3,3.58,High
76,Computer Networks,75,6.6,3.6,6.9,0.1,6.8,2.99,Moderate
77,Computer Organization,84,9.5,0.4,6.6,5.7,1.8,3.44,High
78,Computer Organization,92,8.2,1.8,6.5,2,5.5,3.35,High
79,Fundamentals of Programming,84,8.4,3,9,2.8,0.8,3.26,High
80,Computer Organization,61,5.3,2.2,7.2,5.3,4,2.62,Low
81,OOP,70,6.8,0.5,5.7,4.6,6.4,2.86,High
82,Computer Organization,74,5.4,2.8,5.4,4.9,5.5,2.86,High
83,SAD,72,8.5,0.3,5.4,5.9,3.9,2.99,High
84,Fundamentals of Programming,78,9.1,3.8,9.9,0.9,0.3,3.08,High
85,SAD,83,6.9,0.3,8.9,3.4,4.5,3.21,Moderate
86,SAD,60,5.6,2,5.1,2.8,8.5,2.81,High
87,DSA,72,5.3,0.5,5.6,3.9,8.7,2.9,High
88,Fundamentals of Programming,94,9.8,1.5,6.4,5.2,1.1,3.78,High
89,SAD,73,6.1,3.9,5.1,5.8,3.1,2.96,High
90,DSA,71,5.4,2.2,9.8,3.1,3.5,2.81,Low
91,DSA,87,8.1,2.8,7.3,3.6,2.2,3.39,High
92,Fundamentals of Programming,71,5.2,1.1,9.8,5.3,2.6,2.82,Low
93,MIS,66,7.3,2.5,6.4,1.1,6.7,2.67,Moderate
94,Computer Networks,79,7.9,0.3,9.9,5.8,0.1,3.08,Moderate
95,OOP,78,8.5,2.1,6.5,4.9,2,3.1,High
96,Computer Networks,88,9.6,3.3,9.7,1,0.4,3.54,High
97,Computer Organization,82,8.1,1.7,9.7,3.9,0.6,3.45,High
98,OOP,80,9.9,0.6,8,2.1,3.4,3.39,High
99,Computer Organization,75,9.8,3.4,9.2,0.7,0.9,3.15,High
100,SAD,68,5.3,3.5,9.1,6,0.1,2.68,Low
101,Data Science,85,10,2.2,8.8,2.8,0.2,3.41,High
102,Fundamentals of Programming,76,7.3,0.5,9.8,3.6,2.8,3.22,Moderate
103,OOP,76,6.1,2.7,8.1,2.1,5,2.98,Moderate
104,OOP,79,7.6,3.1,7.6,4.9,0.8,2.99,Moderate
105,SAD,81,7.8,2.2,9.4,1.9,2.7,3.3,Moderate
106,MIS,84,8.5,0.9,5.7,0.1,8.8,3.55,High
107,DSA,72,6.8,2.4,7,2.6,5.2,2.97,Moderate
108,SAD,85,7.6,3.1,7,3.7,2.6,3.28,Moderate
109,Foundation of web technologies,78,9.3,3.8,5.7,4.8,0.4,3.05,High
110,DSA,74,7.3,3.9,7.5,1.7,3.6,3.08,Moderate
111,Fundamentals of Programming,87,8.2,1,5.4,0.8,8.6,3.3,High
112,DSA,72,5.9,1.4,9.5,2.8,4.4,2.7,Low
113,MIS,76,8.3,0.7,6,0.2,8.8,3.14,High
114,DSA,66,5.9,0.4,5.6,2.8,9.3,2.73,High
115,Fundamentals of Programming,67,6,1.5,7.5,4.1,4.9,2.76,Moderate
116,MIS,85,9.4,3.7,5.3,1.6,4,3.45,High
117,Computer Networks,85,9,3,5.9,1.3,4.8,3.29,High
118,OOP,70,8.1,1.5,7.3,4.5,2.6,2.75,High
119,OOP,88,5.2,1,8.6,5.4,3.8,3.4,Low
120,Computer Organization,78,5.5,1.8,7.7,1.5,7.5,3.05,Low
121,Computer Networks,76,6.3,1.5,5.1,1.9,9.2,2.82,High
122,Computer Networks,62,5.6,3.6,8,4.1,2.7,2.62,Low
123,DSA,92,8.9,2,5.4,3.2,4.5,3.64,High
124,OOP,73,7.2,0.5,6.4,2.2,7.7,3.19,Moderate
125,Fundamentals of Programming,70,8.2,2.3,6.8,5.9,0.8,2.95,High
126,Database Systems,73,5.5,0.6,6.2,1,10.7,2.94,Low
127,Database Systems,74,5.9,1.1,5.9,5.4,5.7,2.89,High
128,MIS,72,7.1,3.9,5.6,2.4,5,2.9,High
129,OOP,88,9.8,3.5,9.1,0.4,1.2,3.57,High
130,OOP,80,9.6,2.2,7.9,1.2,3.1,3.24,High
131,Database Systems,79,8.8,0.7,6.6,2.6,5.3,2.99,High
132,OOP,70,5.6,2.4,6.4,3.5,6.1,2.85,Low
133,DSA,73,5.8,1.9,7.7,0.3,8.3,2.7,Low
134,Foundation of web technologies,70,5.3,4,6.6,4.9,3.2,2.72,Low
135,Data Science,63,6.3,2.7,8.8,3.6,2.6,2.45,Moderate
136,Computer Networks,68,6.7,3.7,9.2,4.2,0.2,2.85,Moderate
137,Computer Organization,74,5.6,2.9,9.7,1.1,4.7,2.86,Low
138,MIS,77,7.9,3.4,5.7,4.8,2.2,3.15,High
139,Foundation of web technologies,70,6,0.7,5.8,4.9,6.6,2.96,High
140,Database Systems,88,6.8,3.5,7,4.9,1.8,3.44,Moderate
141,Computer Networks,73,7.2,1.5,7.3,1.8,6.2,3.08,Moderate
142,OOP,79,6.2,3.6,6.9,3.3,4,3.27,Moderate
143,Computer Organization,78,9.5,2.5,5.6,5.6,0.8,3.13,High
144,OOP,84,5.7,3.2,8.1,3.2,3.8,3.08,Low
145,Fundamentals of Programming,88,9.5,3.2,5.8,1.7,3.8,3.59,High
146,Fundamentals of Programming,64,5.2,2.3,8.8,5.3,2.4,2.61,Low
147,Computer Organization,76,6.7,3.3,5.6,5.1,3.3,2.95,High
148,Computer Organization,75,9,0.6,6.1,4.3,4,3.15,High
149,Database Systems,80,8.6,2.6,8.5,2.3,2,3.14,High
150,Computer Organization,70,5.9,3.6,7.9,2.4,4.2,2.64,Low
151,DSA,89,7.3,3.8,5.8,3.5,3.6,3.58,High
152,OOP,73,5.1,3.5,9.7,3.2,2.5,2.79,Low
153,Foundation of web technologies,92,8.5,3.7,8.5,0.5,2.8,3.65,High
154,SAD,81,7.1,2.9,9.7,4,0.3,3.33,Moderate
155,Computer Organization,77,7.3,0.5,9.9,5,1.3,3.11,Moderate
156,MIS,84,8,1.6,5.3,2,7.1,3.42,High
157,Fundamentals of Programming,87,9,0,6.7,2.4,5.9,3.51,High
158,DSA,76,6.7,1.4,8.7,2.7,4.5,3.02,Moderate
159,Computer Networks,61,6.1,1.8,5.7,1.1,9.3,2.38,High
160,SAD,87,9.6,1.4,7.9,3.2,1.9,3.43,High
161,Foundation of web technologies,60,5.1,2.7,5.9,5.8,4.5,2.71,High
162,SAD,64,5.4,4,7.5,3.6,3.5,2.59,Low
163,Computer Organization,62,5.3,3,6,5.4,4.3,2.68,Low
164,Database Systems,66,5.2,1.9,7.8,0.4,8.7,2.67,Low
165,Fundamentals of Programming,89,8.9,1.8,7.6,2.5,3.2,3.58,High
166,Fundamentals of Programming,64,5.8,0.7,9.3,5.7,2.5,2.46,Low
167,Computer Networks,80,6.9,1.1,8.2,2.5,5.3,3.22,Moderate
168,Database Systems,76,5.1,0.9,6.2,4,7.8,3.02,Low
169,OOP,65,5.1,0.4,9,1.1,8.4,2.52,Low
170,Data Science,78,5.5,1,8.6,5.1,3.8,2.97,Low
171,DSA,87,9.2,1.6,8.3,1,3.9,3.5,High
172,Fundamentals of Programming,68,5.1,0.3,6,0.2,12.4,2.7,Low
173,MIS,70,5.9,2.3,7.1,5.4,3.3,2.78,Low
174,Fundamentals of Programming,77,6.3,1.5,8,1.6,6.6,3.15,Moderate
175,SAD,79,8.1,1.6,7.8,2.6,3.9,3.26,High
176,Fundamentals of Programming,76,8.8,0.6,9.3,2.6,2.7,3.3,High
177,Fundamentals of Programming,84,9.5,3.2,7.1,0.1,4.1,3.49,High
178,Data Science,67,8.2,1,5.7,5,4.1,2.89,High
179,Data Science,92,9.9,2.1,5.9,1.6,4.5,3.52,High
180,Foundation of web technologies,70,6.4,2.2,8.3,5,2.1,2.76,Moderate
181,OOP,73,6,0,5.7,5.4,6.9,2.95,High
182,MIS,83,8,2.7,5.9,5.5,1.9,3.4,High
183,Fundamentals of Programming,79,7.1,1.5,7.6,0.3,7.5,3.17,Moderate
184,Fundamentals of Programming,64,5.4,2.4,6.2,2.3,7.7,2.66,Low
185,DSA,70,6.4,1.4,8.6,1.8,5.8,2.77,Moderate
186,Data Science,95,8.3,3.7,8.7,0.7,2.6,3.77,High
187,MIS,80,5.2,1,8,0.3,9.5,3.29,Low
188,Computer Networks,72,6.7,3.1,5.5,0.5,8.2,2.99,High
189,Foundation of web technologies,89,8.6,2,8.4,2.2,2.8,3.43,High
190,OOP,81,9,2.8,6.4,3.4,2.4,3.24,High
191,Database Systems,73,6.8,0.4,9.6,0.8,6.4,3.01,Moderate
192,OOP,74,5.9,2.2,9.4,4.4,2.1,3.01,Low
193,SAD,80,9,2.6,8.5,3.3,0.6,3.34,High
194,Fundamentals of Programming,64,6.1,4,9.7,0.2,4,2.58,Moderate
195,Foundation of web technologies,79,8.5,3.7,5.9,3.4,2.5,3.06,High
196,SAD,91,9.6,3.9,9.7,0.4,0.4,3.65,High
197,MIS,92,9.3,3.4,6.6,3.9,0.8,3.41,High
198,Database Systems,72,6.2,0.5,5.4,4.2,7.7,2.84,High
199,Data Science,83,6.7,2.9,5.3,1.9,7.2,3.29,High
200,Foundation of web technologies,73,6.6,2.5,9.4,3.4,2.1,3.03,Moderate
201,Foundation of web technologies,73,6.2,0.1,9.4,0.1,8.2,2.95,Moderate
202,Fundamentals of Programming,89,9.7,3.2,10,0.4,0.7,3.67,High
203,Computer Organization,74,8.8,1.6,7.4,3.8,2.4,3.23,High
204,Foundation of web technologies,87,7.1,3,6.2,0.7,7,3.36,Moderate
205,DSA,74,6.8,1.1,6.5,1.4,8.2,3.01,Moderate
206,Database Systems,75,6.9,2.7,6.1,5.7,2.6,3.08,Moderate
207,Database Systems,84,8.9,0.4,7.1,5.3,2.3,3.33,High
208,DSA,85,8.1,0.7,10,1.2,4,3.35,High
209,Computer Networks,82,9.7,2.6,8,1.9,1.8,3.33,High
210,DSA,70,6.1,0.7,8.9,2.1,6.2,2.81,Moderate
211,DSA,79,5.3,3.9,9.4,5,0.4,3.08,Low
212,Database Systems,78,8.5,0.6,9.1,1.3,4.5,3.16,High
213,OOP,71,6.1,2.1,8,3.5,4.3,2.79,Moderate
214,Database Systems,78,9.4,3.8,9.3,1.2,0.3,3.33,High
215,Computer Organization,71,8.3,2.2,5.4,2.5,5.6,2.97,High
216,Fundamentals of Programming,80,8.6,2,5.4,1.3,6.7,3.14,High
217,SAD,90,8.4,0.3,9.3,3,3,3.77,High
218,OOP,82,9.1,1.4,8.4,2.9,2.2,3.26,High
219,Data Science,77,6.3,3.5,9,3.4,1.8,3.11,Moderate
220,SAD,83,8.5,2.7,8.1,3.5,1.2,3.38,High
221,Fundamentals of Programming,69,5.8,3.5,9.4,0.2,5.1,2.84,Low
222,Computer Organization,78,6.7,3,5.8,4.9,3.6,3.03,High
223,Computer Organization,91,9.2,2,5,1.7,6.1,3.42,High
224,Data Science,82,8.2,1,8.2,3.2,3.4,3.24,High
225,OOP,84,8.9,0.4,8.8,3.2,2.7,3.32,High
226,Computer Networks,80,8.2,3.7,5.5,5.6,1,3.29,High
227,DSA,79,8.4,0.3,6.5,4.2,4.6,3.29,High
228,OOP,71,6.7,2.5,5.2,5.2,4.4,2.86,High
229,Computer Networks,92,9.9,3.9,8.7,0.2,1.3,3.8,High
230,Computer Organization,76,8.4,1.8,6.4,6,1.4,3.25,High
231,Database Systems,74,7.1,1.8,5.8,4.8,4.5,2.86,High
232,Fundamentals of Programming,76,5.4,2.7,8.3,1.6,6,2.95,Low
233,Data Science,93,9.8,0.6,7.2,5.7,0.7,3.84,High
234,Fundamentals of Programming,72,7,1.1,9.9,2.5,3.5,2.84,Moderate
235,MIS,82,9.5,0.9,6.1,0.2,7.3,3.17,High
236,MIS,93,9.3,1.9,9.8,0.6,2.4,3.68,High
237,OOP,84,9.3,3.1,8.9,2.3,0.4,3.52,High
238,Computer Organization,77,5.7,0.1,9.6,3.7,4.9,3.12,Low
239,Computer Organization,84,9,1.9,5.6,0.8,6.7,3.21,High
240,DSA,82,6,2,5.3,3.5,7.2,3.26,High
241,DSA,73,6.3,3.2,6.6,2.7,5.2,2.85,Moderate
242,DSA,69,8,1.2,8.5,5.2,1.1,2.72,Moderate
243,Database Systems,81,8.9,0.2,7.4,0.6,6.9,3.33,High
244,SAD,73,8.1,2.8,7.8,0.1,5.2,2.98,High
245,Foundation of web technologies,71,6.6,2.1,5.4,2.1,7.8,2.79,High
246,SAD,80,7.8,2.8,9,0.9,3.5,3.11,Moderate
247,Fundamentals of Programming,75,5.8,0.4,8.2,4.2,5.4,2.88,Low
248,SAD,76,8.5,3.5,8.6,2.7,0.7,3.15,High
249,Database Systems,83,6.7,3.3,5.4,5.4,3.2,3.27,High
250,Fundamentals of Programming,82,7.3,2.6,7.6,4.4,2.1,3.13,Moderate
251,SAD,66,5.4,0.2,6.2,1,11.2,2.75,Low
252,Database Systems,94,9.9,1.3,5.9,4.7,2.2,3.57,High
253,Foundation of web technologies,86,8.3,2,7.8,4.2,1.7,3.25,High
254,SAD,81,6,2.7,5.4,0.2,9.7,2.92,High
255,Database Systems,72,6.3,1.9,9.3,4.4,2.1,2.85,Moderate
256,DSA,84,6.7,1.5,9.9,0.2,5.7,3.32,Moderate
257,Computer Organization,93,9.3,2.3,7.2,3.8,1.4,3.61,High
258,DSA,88,9.5,1.7,6.4,3.6,2.8,3.42,High
259,Computer Organization,86,9.6,0.8,8.1,3.5,2,3.31,High
260,Data Science,87,8.6,3.6,5.9,1.4,4.5,3.37,High
261,Data Science,89,9.9,0.7,9.3,2,2.1,3.59,High
262,Data Science,79,7.2,2.1,6.8,3.6,4.3,3.01,Moderate
263,Foundation of web technologies,62,5.8,1.6,9.8,1.5,5.3,2.61,Low
264,DSA,89,8.9,0.5,9.8,2.2,2.6,3.57,High
265,Computer Organization,83,6.2,0.3,5.8,3.1,8.6,3.13,High
266,Database Systems,71,7.2,1,8.1,4.2,3.5,2.98,Moderate
267,Fundamentals of Programming,68,5.8,0.7,5.2,4.4,7.9,2.81,High
268,Database Systems,97,9.2,3.2,7.9,3.2,0.5,3.8,High
269,Fundamentals of Programming,77,6,0.4,6.3,0.3,11,3.05,Moderate
270,MIS,67,5.2,0.5,7.3,5.6,5.4,2.79,Low
271,Database Systems,78,6.6,2,5.2,0.9,9.3,3.17,High
272,SAD,75,7.3,2.1,7.4,4,3.2,3.16,Moderate
273,SAD,77,5.7,0.1,6.5,4.2,7.5,2.98,Low
274,OOP,81,9.8,0.4,8.4,2.4,3,3.26,High
275,DSA,91,9.3,0.7,8.5,4.6,0.9,3.43,High
276,Fundamentals of Programming,80,7.5,2.5,9.3,2.7,2,3.2,Moderate
277,Fundamentals of Programming,72,5.2,3.7,8.4,4.1,2.6,2.91,Low
278,DSA,70,7,2.6,5.5,3.9,5,2.82,High
279,Foundation of web technologies,88,10,0.2,9.9,1.6,2.3,3.56,High
280,OOP,82,7.8,3,9.4,1.5,2.3,3.25,Moderate
281,Foundation of web technologies,81,6.6,2.7,9,4.3,1.4,2.93,Moderate
282,Foundation of web technologies,90,9.1,0.5,7.7,0,6.7,3.64,High
283,Foundation of web technologies,69,6.6,1.5,7,4.2,4.7,2.79,Moderate
284,DSA,63,6.2,1.5,6.1,0.4,9.8,2.5,Moderate
285,Foundation of web technologies,88,8,2.7,8.1,2.4,2.8,3.4,Moderate
286,SAD,73,7.6,1.9,5.1,2,7.4,3.08,High
287,Data Science,84,6.9,1.6,7.9,3.2,4.4,3.31,Moderate
288,MIS,85,9.1,2.9,9.8,0,2.2,3.48,High
289,Fundamentals of Programming,75,6,0,8.2,5.4,4.4,2.92,Moderate
290,Fundamentals of Programming,68,5.3,3.7,6.8,0.6,7.6,2.78,Low
291,MIS,72,7.4,1,6.4,1.8,7.4,3.15,Moderate
292,DSA,83,6.6,2.4,8.6,1.6,4.8,3.27,Moderate
293,Database Systems,78,7.1,0.5,5.9,4.1,6.4,3.09,High
294,DSA,74,8.5,0.4,7.8,1.5,5.8,3.01,High
295,Fundamentals of Programming,86,9.8,1.9,9,1.8,1.5,3.5,High
296,Fundamentals of Programming,81,9.8,2.4,9.1,2.4,0.3,3.38,High
297,MIS,69,6.1,0.8,8.1,2.5,6.5,2.67,Moderate
298,Foundation of web technologies,83,8.9,1.1,9.1,2.1,2.8,3.2,High
299,DSA,73,8.3,0.4,8.1,2.7,4.5,3.01,High
300,Computer Organization,83,8.7,3.5,6.1,0.5,5.2,3.37,High
301,MIS,66,5.1,2.6,8,3.3,5,2.65,Low
302,SAD,80,8,2,9.9,0.6,3.5,2.93,Moderate
303,Fundamentals of Programming,86,8.5,1.6,7.1,4.3,2.5,3.39,High
304,MIS,79,6.4,0.3,5.4,5.4,6.5,3.29,High
305,DSA,74,6,1.3,6.1,2.1,8.5,2.91,Moderate
306,Fundamentals of Programming,62,5.3,3.2,6.2,3.2,6.1,2.64,Low
307,Database Systems,94,9.4,2.6,7.7,1.4,2.9,3.66,High
308,MIS,87,10,2.6,7.8,2.6,1,3.26,High
309,OOP,85,7.3,0.2,7.8,5.7,3,3.2,Moderate
310,Fundamentals of Programming,70,6,2.1,5.5,2.7,7.7,2.72,High
311,DSA,76,8.8,1.4,8.3,4.4,1.1,3.1,High
312,Data Science,82,10,3.7,7.7,2.2,0.4,3.44,High
313,Computer Organization,75,7.6,2.5,5.4,4.5,4,3.17,High
314,Computer Networks,74,8.9,2.8,5.2,1.8,5.3,3.3,High
315,Foundation of web technologies,67,6.3,1.4,5.4,5.6,5.3,2.58,High
316,Computer Networks,78,7,1.8,8,3.1,4.1,3.15,Moderate
317,DSA,89,9.6,2,10,2,0.4,3.46,High
318,SAD,80,6.9,3.5,9.3,3.5,0.8,3.02,Moderate
319,SAD,87,9,1.2,5.4,2.4,6,3.46,High
320,Data Science,71,6.7,3.9,8.2,4.3,0.9,2.83,Moderate
321,Foundation of web technologies,77,5.7,3.4,9.6,2.6,2.7,3.13,Low
322,OOP,74,5.9,2,7,0.9,8.2,3,Low
323,Data Science,78,6.8,0.3,5.1,0.8,11,3.03,High
324,Computer Networks,89,9.8,1.7,6.6,3,2.9,3.58,High
325,Data Science,84,7.2,0.4,8.2,1.3,6.9,3.39,Moderate
326,Computer Networks,78,5.8,0.2,8.9,2.8,6.3,3.11,Low
327,Fundamentals of Programming,69,5.3,4,5.3,4.2,5.2,2.67,High
328,SAD,78,8.5,0.2,7.5,6,1.8,3.21,High
329,Fundamentals of Programming,71,9.1,2.5,6.5,3.7,2.2,2.85,High
330,Computer Organization,77,5.7,3.5,7.2,1.2,6.4,3.04,Low
331,Foundation of web technologies,76,6.8,1.7,9.1,4.4,2,2.9,Moderate
332,OOP,56,5.1,1,8.8,0.8,8.3,2.25,Low
333,Computer Networks,77,7.7,0.9,5.1,1.4,8.9,3.15,High
334,OOP,72,5.5,2.2,7.3,5.1,3.9,2.94,Low
335,Computer Networks,73,5.5,2,5.8,1.9,8.8,2.79,High
336,DSA,91,6.9,1.6,7.3,4.7,3.5,3.38,Moderate
337,Data Science,79,9.5,3.8,8.9,0.6,1.2,3.3,High
338,Computer Organization,79,6.3,3.4,5.2,5.4,3.7,3.31,High
339,SAD,83,7.3,2.5,8.3,5.3,0.6,3.36,Moderate
340,Computer Networks,78,5.3,2.1,5.8,4.4,6.4,3.11,High
341,OOP,79,7.6,2.7,5.2,0.5,8,3.07,High
342,Computer Organization,69,5.4,0,9.8,4.4,4.4,2.85,Low
343,Database Systems,67,6.8,1.2,6.7,4.6,4.7,2.81,Moderate
344,Database Systems,75,5.9,0.4,8.3,4.6,4.8,2.99,Low
345,Fundamentals of Programming,78,6.3,0.1,5.4,5.8,6.4,3.14,High
346,SAD,79,8.1,1.5,6,0.7,7.7,3.06,High
347,DSA,79,8.1,3.1,8.2,2.4,2.2,3.09,High
348,OOP,93,9.9,2.4,7.9,2.8,1,3.67,High
349,Data Science,79,9.1,2.6,5.6,2,4.7,3.16,High
350,Data Science,74,7.2,2.5,9.7,1.1,3.5,2.69,Moderate
351,OOP,73,5.6,0.8,9.4,3.9,4.3,3.01,Low
352,Foundation of web technologies,84,9.3,3.4,9.6,0.4,1.3,3.28,High
353,DSA,82,8.8,1.8,9.2,3.1,1.1,3.45,High
354,Computer Organization,75,5.9,2.2,9.9,5.6,0.4,3.12,Low
355,Computer Networks,65,5.2,0.7,5.7,4.4,8,2.67,High
356,Foundation of web technologies,86,7.5,3.4,8.7,2.4,2,3.24,Moderate
357,Computer Networks,85,8,2,6.5,3.4,4.1,3.35,Moderate
358,Computer Networks,81,8.2,3,5.8,2.8,4.2,3.31,High
359,Foundation of web technologies,69,5,1,8.6,6,3.4,2.71,Low
360,Fundamentals of Programming,80,9,0.8,7.8,4.4,2,3.18,High
361,Database Systems,78,8.1,0.8,6.8,4.7,3.6,3.19,High
362,Computer Networks,79,8.8,0.1,8.7,1.2,5.2,3.32,High
363,Foundation of web technologies,95,9.8,1.5,6.6,0.9,5.2,3.61,High
364,Foundation of web technologies,86,10,1.5,7.2,3.8,1.5,3.43,High
365,MIS,84,9.4,2.4,7,2.1,3.1,3.1,High
366,Fundamentals of Programming,93,9,0.4,7.9,2.9,3.8,3.6,High
367,SAD,93,8.2,0.3,7.9,3.4,4.2,3.64,High
368,MIS,86,8.4,3.2,6.3,5,1.1,3.5,High
369,MIS,78,7.5,0.3,5.3,2,8.9,3.26,High
370,OOP,88,8.9,2.1,7.2,0.9,4.9,3.53,High
371,Database Systems,79,6.6,1.7,5.4,1.3,9,3.29,High
372,Foundation of web technologies,93,10,3.7,8.2,0.9,1.2,3.63,High
373,Database Systems,84,8.2,3.1,5.6,2.5,4.6,3.16,High
374,DSA,84,7.9,2.4,5.9,2.2,5.6,3.4,High
375,OOP,79,6.7,0.1,5.1,5,7.1,3.03,High
376,SAD,63,6.5,3.8,6.3,2.6,4.8,2.62,Moderate
377,Database Systems,79,9.4,3.4,5.9,4.3,1,3.18,High
378,Data Science,55,5.7,0.3,8.6,3,6.4,2.28,Low
379,Computer Networks,66,7.2,2.9,8.8,0.8,4.3,2.88,Moderate
380,DSA,84,8.8,2.6,9.8,0.2,2.6,3.38,High
381,Fundamentals of Programming,69,5.3,1.1,6.3,1.5,9.8,2.75,Low
